
🚀 Starting Epoch 1/10
🟢 Epoch 1 | Step 0/42358
🟢 Epoch 7 | Step 22000/42358
🟢 Epoch 7 | Step 22500/42358
🟢 Epoch 7 | Step 23000/42358
🟢 Epoch 7 | Step 23500/42358
🟢 Epoch 7 | Step 24000/42358
🟢 Epoch 7 | Step 24500/42358
🟢 Epoch 7 | Step 25000/42358
🟢 Epoch 7 | Step 25500/42358
🟢 Epoch 7 | Step 26000/42358
🟢 Epoch 7 | Step 26500/42358
🟢 Epoch 7 | Step 27000/42358
🟢 Epoch 7 | Step 27500/42358
🟢 Epoch 7 | Step 28000/42358
🟢 Epoch 7 | Step 28500/42358
🟢 Epoch 7 | Step 29000/42358
🟢 Epoch 7 | Step 29500/42358
🟢 Epoch 7 | Step 30000/42358
🟢 Epoch 7 | Step 30500/42358
